web-scraper-order,web-scraper-start-url,image-src,info
"1589788245-1907","https://pkmncards.com/set/sword-shield/","https://pkmncards.com/wp-content/uploads/en_US-SWSH1-084-haunter.jpg","<p class=""name-type""><a href=""https://pkmncards.com/name/haunter/"" class=""name"">Haunter</a> — <a href=""https://pkmncards.com/hp/70/"" class=""hp"">70 HP</a> — <a href=""https://pkmncards.com/color/psychic/"" class=""color""><abbr title=""Psychic"" class=""energy-symbol psychic""><span class=""vh"">[</span>P<span class=""vh"">]</span></abbr></a><br><a href=""https://pkmncards.com/stage/stage-1/"" class=""stage"">Stage 1</a> — Evolves from <a href=""https://pkmncards.com?s=name%3Agastly+format%3Aupr-on-standard-2020%2Cblw-on-expanded-2020&amp;display=full&amp;sort=rating"" class=""evolves-from"">Gastly</a></p><p><abbr title=""Colorless"" class=""energy-symbol colorless""><span class=""vh"">[</span>C<span class=""vh"">]</span></abbr> <span class=""attack-name"">Nightmare</span>: 20<br>
Your opponent’s Active Pokémon is now Asleep.</p>
<p><abbr title=""Psychic"" class=""energy-symbol psychic""><span class=""vh"">[</span>P<span class=""vh"">]</span></abbr><abbr title=""Colorless"" class=""energy-symbol colorless""><span class=""vh"">[</span>C<span class=""vh"">]</span></abbr> <span class=""attack-name"">Spooky Shot</span>: 40</p>
<p class=""weakness-resistance-retreat-cost"">weakness: <a href=""https://pkmncards.com/weakness/darkness/"" class=""weakness""><abbr title=""Darkness"" class=""energy-symbol darkness""><span class=""vh"">[</span>D<span class=""vh"">]</span></abbr></a><span class=""modifier"">×2</span><br>resistance: <a href=""https://pkmncards.com/resistance/fighting/"" class=""resistance""><abbr title=""Fighting"" class=""energy-symbol fighting""><span class=""vh"">[</span>F<span class=""vh"">]</span></abbr></a><span class=""modifier"">-30</span><br>retreat: <a href=""https://pkmncards.com/retreat-cost/1/"" class=""retreat-cost"">1</a></p><p class=""artist-set"">Illus. <a href=""https://pkmncards.com/artist/hyogonosuke/"" class=""artist"">HYOGONOSUKE</a><br><a href=""https://pkmncards.com/set/sword-shield/"" class=""set"">Sword &amp; Shield</a> — <a href=""https://pkmncards.com/number/084/"" class=""number"">084</a>/202 — <a href=""https://pkmncards.com/rarity/uncommon/"" class=""rarity"">Uncommon</a></p><p class=""flavor"">Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes.</p>"
"1589788245-1953","https://pkmncards.com/set/sword-shield/","https://pkmncards.com/wp-content/uploads/en_US-SWSH1-130-ferroseed.jpg","<p class=""name-type""><a href=""https://pkmncards.com/name/ferroseed/"" class=""name"">Ferroseed</a> — <a href=""https://pkmncards.com/hp/70/"" class=""hp"">70 HP</a> — <a href=""https://pkmncards.com/color/metal/"" class=""color""><abbr title=""Metal"" class=""energy-symbol metal""><span class=""vh"">[</span>M<span class=""vh"">]</span></abbr></a><br><a href=""https://pkmncards.com/stage/basic/"" class=""stage"">Basic</a></p><p><abbr title=""Colorless"" class=""energy-symbol colorless""><span class=""vh"">[</span>C<span class=""vh"">]</span></abbr> <span class=""attack-name"">Rollout</span>: 10</p>
<p class=""weakness-resistance-retreat-cost"">weakness: <a href=""https://pkmncards.com/weakness/fire/"" class=""weakness""><abbr title=""Fire"" class=""energy-symbol fire""><span class=""vh"">[</span>R<span class=""vh"">]</span></abbr></a><span class=""modifier"">×2</span><br>resistance: <a href=""https://pkmncards.com/resistance/grass/"" class=""resistance""><abbr title=""Grass"" class=""energy-symbol grass""><span class=""vh"">[</span>G<span class=""vh"">]</span></abbr></a><span class=""modifier"">-30</span><br>retreat: <a href=""https://pkmncards.com/retreat-cost/2/"" class=""retreat-cost"">2</a></p><p class=""artist-set"">Illus. <a href=""https://pkmncards.com/artist/yuka-morii/"" class=""artist"">Yuka Morii</a><br><a href=""https://pkmncards.com/set/sword-shield/"" class=""set"">Sword &amp; Shield</a> — <a href=""https://pkmncards.com/number/130/"" class=""number"">130</a>/202 — <a href=""https://pkmncards.com/rarity/common/"" class=""rarity"">Common</a></p><p class=""flavor"">It defends itself by launching spikes, but its aim isn’t very good at first. Only after a lot of practice will it improve.</p>"
"1589788245-1912","https://pkmncards.com/set/sword-shield/","https://pkmncards.com/wp-content/uploads/en_US-SWSH1-089-sinistea.jpg","<p class=""name-type""><a href=""https://pkmncards.com/name/sinistea/"" class=""name"">Sinistea</a> — <a href=""https://pkmncards.com/hp/30/"" class=""hp"">30 HP</a> — <a href=""https://pkmncards.com/color/psychic/"" class=""color""><abbr title=""Psychic"" class=""energy-symbol psychic""><span class=""vh"">[</span>P<span class=""vh"">]</span></abbr></a><br><a href=""https://pkmncards.com/stage/basic/"" class=""stage"">Basic</a></p><p><abbr title=""Colorless"" class=""energy-symbol colorless""><span class=""vh"">[</span>C<span class=""vh"">]</span></abbr> <span class=""attack-name"">Teatime</span><br>
Each player draws 2 cards.</p>
<p class=""weakness-resistance-retreat-cost"">weakness: <a href=""https://pkmncards.com/weakness/darkness/"" class=""weakness""><abbr title=""Darkness"" class=""energy-symbol darkness""><span class=""vh"">[</span>D<span class=""vh"">]</span></abbr></a><span class=""modifier"">×2</span><br>resistance: <a href=""https://pkmncards.com/resistance/fighting/"" class=""resistance""><abbr title=""Fighting"" class=""energy-symbol fighting""><span class=""vh"">[</span>F<span class=""vh"">]</span></abbr></a><span class=""modifier"">-30</span><br>retreat: <a href=""https://pkmncards.com/retreat-cost/1/"" class=""retreat-cost"">1</a></p><p class=""artist-set"">Illus. <a href=""https://pkmncards.com/artist/saya-tsuruta/"" class=""artist"">Saya Tsuruta</a><br><a href=""https://pkmncards.com/set/sword-shield/"" class=""set"">Sword &amp; Shield</a> — <a href=""https://pkmncards.com/number/089/"" class=""number"">089</a>/202 — <a href=""https://pkmncards.com/rarity/common/"" class=""rarity"">Common</a></p><p class=""flavor"">This Pokémon is said to have been born when a lonely spirit possessed a cold, leftover cup of tea.</p>"
"1589788245-1948","https://pkmncards.com/set/sword-shield/","https://pkmncards.com/wp-content/uploads/en_US-SWSH1-125-nickit.jpg","<p class=""name-type""><a href=""https://pkmncards.com/name/nickit/"" class=""name"">Nickit</a> — <a href=""https://pkmncards.com/hp/70/"" class=""hp"">70 HP</a> — <a href=""https://pkmncards.com/color/darkness/"" class=""color""><abbr title=""Darkness"" class=""energy-symbol darkness""><span class=""vh"">[</span>D<span class=""vh"">]</span></abbr></a><br><a href=""https://pkmncards.com/stage/basic/"" class=""stage"">Basic</a></p><p><abbr title=""Darkness"" class=""energy-symbol darkness""><span class=""vh"">[</span>D<span class=""vh"">]</span></abbr> <span class=""attack-name"">Instigate</span><br>
Your opponent shuffles their hand and puts it on the bottom of their deck. If they put any cards on the bottom of their deck in this way, they draw 3 cards.</p>
<p class=""weakness-resistance-retreat-cost"">weakness: <a href=""https://pkmncards.com/weakness/grass/"" class=""weakness""><abbr title=""Grass"" class=""energy-symbol grass""><span class=""vh"">[</span>G<span class=""vh"">]</span></abbr></a><span class=""modifier"">×2</span><br>resistance:<br>retreat: <a href=""https://pkmncards.com/retreat-cost/1/"" class=""retreat-cost"">1</a></p><p class=""artist-set"">Illus. <a href=""https://pkmncards.com/artist/kirisaki/"" class=""artist"">kirisAki</a><br><a href=""https://pkmncards.com/set/sword-shield/"" class=""set"">Sword &amp; Shield</a> — <a href=""https://pkmncards.com/number/125/"" class=""number"">125</a>/202 — <a href=""https://pkmncards.com/rarity/common/"" class=""rarity"">Common</a></p><p class=""flavor"">Aided by the soft pads on its feet, it silently raids the food stores of other Pokémon. It survives off its ill-gotten gains.</p>"
"1589788245-2019","https://pkmncards.com/set/sword-shield/","https://pkmncards.com/wp-content/uploads/en_US-SWSH1-196-zamazenta_v.jpg","<p class=""name-type""><a href=""https://pkmncards.com/name/zamazenta-v/"" class=""name"">Zamazenta V</a> — <a href=""https://pkmncards.com/hp/230/"" class=""hp"">230 HP</a> — <a href=""https://pkmncards.com/color/metal/"" class=""color""><abbr title=""Metal"" class=""energy-symbol metal""><span class=""vh"">[</span>M<span class=""vh"">]</span></abbr></a><br><a href=""https://pkmncards.com/stage/basic/"" class=""stage"">Basic</a></p><p><a href=""https://pkmncards.com/has/ability/"" class=""ability""><em>Ability</em></a>: <span class=""ability-name"">Dauntless Shield</span><br>
Prevent all damage done to this Pokémon by attacks from your opponent’s Pokémon VMAX.</p>
<p><abbr title=""Metal"" class=""energy-symbol metal""><span class=""vh"">[</span>M<span class=""vh"">]</span></abbr><abbr title=""Metal"" class=""energy-symbol metal""><span class=""vh"">[</span>M<span class=""vh"">]</span></abbr><abbr title=""Colorless"" class=""energy-symbol colorless""><span class=""vh"">[</span>C<span class=""vh"">]</span></abbr> <span class=""attack-name"">Assault Tackle</span>: 130<br>
Discard a Special Energy from your opponent’s Active Pokémon.</p>
<p><em>V rule:</em> When your Pokémon <em>V</em> is Knocked Out, your opponent takes 2 Prize cards.</p><p class=""weakness-resistance-retreat-cost"">weakness: <a href=""https://pkmncards.com/weakness/fire/"" class=""weakness""><abbr title=""Fire"" class=""energy-symbol fire""><span class=""vh"">[</span>R<span class=""vh"">]</span></abbr></a><span class=""modifier"">×2</span><br>resistance: <a href=""https://pkmncards.com/resistance/grass/"" class=""resistance""><abbr title=""Grass"" class=""energy-symbol grass""><span class=""vh"">[</span>G<span class=""vh"">]</span></abbr></a><span class=""modifier"">-30</span><br>retreat: <a href=""https://pkmncards.com/retreat-cost/2/"" class=""retreat-cost"">2</a></p><p class=""artist-set"">Illus. <a href=""https://pkmncards.com/artist/aky-cg-works/"" class=""artist"">aky CG Works</a><br><a href=""https://pkmncards.com/set/sword-shield/"" class=""set"">Sword &amp; Shield</a> — <a href=""https://pkmncards.com/number/196/"" class=""number"">196</a>/202 — <a href=""https://pkmncards.com/rarity/rare-ultra/"" class=""rarity"">Rare Ultra</a></p>"
"1589788245-1848","https://pkmncards.com/set/sword-shield/","https://pkmncards.com/wp-content/uploads/en_US-SWSH1-025-victini_v.jpg","<p class=""name-type""><a href=""https://pkmncards.com/name/victini-v/"" class=""name"">Victini V</a> — <a href=""https://pkmncards.com/hp/190/"" class=""hp"">190 HP</a> — <a href=""https://pkmncards.com/color/fire/"" class=""color""><abbr title=""Fire"" class=""energy-symbol fire""><span class=""vh"">[</span>R<span class=""vh"">]</span></abbr></a><br><a href=""https://pkmncards.com/stage/basic/"" class=""stage"">Basic</a></p><p><abbr title=""Colorless"" class=""energy-symbol colorless""><span class=""vh"">[</span>C<span class=""vh"">]</span></abbr> <span class=""attack-name"">Spreading Flames</span><br>
Attach up to 3 <abbr title=""Fire"" class=""energy-symbol fire""><span class=""vh"">[</span>R<span class=""vh"">]</span></abbr> Energy cards from your discard pile to your Pokémon in any way you like.</p>
<p><abbr title=""Fire"" class=""energy-symbol fire""><span class=""vh"">[</span>R<span class=""vh"">]</span></abbr><abbr title=""Fire"" class=""energy-symbol fire""><span class=""vh"">[</span>R<span class=""vh"">]</span></abbr> <span class=""attack-name"">Energy Burst</span>: 30×<br>
This attack does 30 damage for each Energy attached to both Active Pokémon.</p>
<p><em>V rule:</em> When your Pokémon <em>V</em> is Knocked Out, your opponent takes 2 Prize cards.</p><p class=""weakness-resistance-retreat-cost"">weakness: <a href=""https://pkmncards.com/weakness/water/"" class=""weakness""><abbr title=""Water"" class=""energy-symbol water""><span class=""vh"">[</span>W<span class=""vh"">]</span></abbr></a><span class=""modifier"">×2</span><br>resistance:<br>retreat: <a href=""https://pkmncards.com/retreat-cost/2/"" class=""retreat-cost"">2</a></p><p class=""artist-set"">Illus. <a href=""https://pkmncards.com/artist/planeta-tsuji/"" class=""artist"">PLANETA Tsuji</a><br><a href=""https://pkmncards.com/set/sword-shield/"" class=""set"">Sword &amp; Shield</a> — <a href=""https://pkmncards.com/number/025/"" class=""number"">025</a>/202 — <a href=""https://pkmncards.com/rarity/rare-holo-v/"" class=""rarity"">Rare Holo V</a></p>"
"1589788245-1845","https://pkmncards.com/set/sword-shield/","https://pkmncards.com/wp-content/uploads/en_US-SWSH1-022-vulpix-1.jpg","<p class=""name-type""><a href=""https://pkmncards.com/name/vulpix/"" class=""name"">Vulpix</a> — <a href=""https://pkmncards.com/hp/70/"" class=""hp"">70 HP</a> — <a href=""https://pkmncards.com/color/fire/"" class=""color""><abbr title=""Fire"" class=""energy-symbol fire""><span class=""vh"">[</span>R<span class=""vh"">]</span></abbr></a><br><a href=""https://pkmncards.com/stage/basic/"" class=""stage"">Basic</a></p><p><abbr title=""Fire"" class=""energy-symbol fire""><span class=""vh"">[</span>R<span class=""vh"">]</span></abbr> <span class=""attack-name"">Flare</span>: 20</p>
<p class=""weakness-resistance-retreat-cost"">weakness: <a href=""https://pkmncards.com/weakness/water/"" class=""weakness""><abbr title=""Water"" class=""energy-symbol water""><span class=""vh"">[</span>W<span class=""vh"">]</span></abbr></a><span class=""modifier"">×2</span><br>resistance:<br>retreat: <a href=""https://pkmncards.com/retreat-cost/1/"" class=""retreat-cost"">1</a></p><p class=""artist-set"">Illus. <a href=""https://pkmncards.com/artist/taira-akitsu/"" class=""artist"">Taira Akitsu</a><br><a href=""https://pkmncards.com/set/sword-shield/"" class=""set"">Sword &amp; Shield</a> — <a href=""https://pkmncards.com/number/022/"" class=""number"">022</a>/202 — <a href=""https://pkmncards.com/rarity/common/"" class=""rarity"">Common</a></p><p class=""flavor"">While young, it has six gorgeous tails. When it grows, several new tails are sprouted.</p>"
"1589788245-2003","https://pkmncards.com/set/sword-shield/","https://pkmncards.com/wp-content/uploads/en_US-SWSH1-180-rare_candy.jpg","<p class=""name-type""><a href=""https://pkmncards.com/name/rare-candy/"" class=""name"">Rare Candy</a><br><a href=""https://pkmncards.com/type/trainer/"" class=""type"">Trainer</a> — <a href=""https://pkmncards.com/type/item/"" class=""type"">Item</a></p><p>Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it, skipping the Stage 1. You can’t use this card during your first turn or on a Basic Pokémon that was put into play this turn.</p>
<p>You may play any number of Item cards during your turn.</p><p class=""artist-set"">Illus. <a href=""https://pkmncards.com/artist/yoshinobu-saito/"" class=""artist"">Yoshinobu Saito</a><br><a href=""https://pkmncards.com/set/sword-shield/"" class=""set"">Sword &amp; Shield</a> — <a href=""https://pkmncards.com/number/180/"" class=""number"">180</a>/202 — <a href=""https://pkmncards.com/rarity/uncommon/"" class=""rarity"">Uncommon</a></p>"
"1589788245-2002","https://pkmncards.com/set/sword-shield/","https://pkmncards.com/wp-content/uploads/en_US-SWSH1-179-quick_ball.jpg","<p class=""name-type""><a href=""https://pkmncards.com/name/quick-ball/"" class=""name"">Quick Ball</a><br><a href=""https://pkmncards.com/type/trainer/"" class=""type"">Trainer</a> — <a href=""https://pkmncards.com/type/item/"" class=""type"">Item</a></p><p>You can play this card only if you discard another card from your hand.</p>
<p>Search your deck for a Basic Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.</p>
<p>You may play any number of Item cards during your turn.</p><p class=""artist-set"">Illus. <a href=""https://pkmncards.com/artist/sadaji/"" class=""artist"">sadaji</a><br><a href=""https://pkmncards.com/set/sword-shield/"" class=""set"">Sword &amp; Shield</a> — <a href=""https://pkmncards.com/number/179/"" class=""number"">179</a>/202 — <a href=""https://pkmncards.com/rarity/uncommon/"" class=""rarity"">Uncommon</a></p>"
"1589788245-1935","https://pkmncards.com/set/sword-shield/","https://pkmncards.com/wp-content/uploads/en_US-SWSH1-112-clobbopus.jpg","<p class=""name-type""><a href=""https://pkmncards.com/name/clobbopus/"" class=""name"">Clobbopus</a> — <a href=""https://pkmncards.com/hp/80/"" class=""hp"">80 HP</a> — <a href=""https://pkmncards.com/color/fighting/"" class=""color""><abbr title=""Fighting"" class=""energy-symbol fighting""><span class=""vh"">[</span>F<span class=""vh"">]</span></abbr></a><br><a href=""https://pkmncards.com/stage/basic/"" class=""stage"">Basic</a></p><p><abbr title=""Fighting"" class=""energy-symbol fighting""><span class=""vh"">[</span>F<span class=""vh"">]</span></abbr><abbr title=""Fighting"" class=""energy-symbol fighting""><span class=""vh"">[</span>F<span class=""vh"">]</span></abbr> <span class=""attack-name"">Punch</span>: 50</p>
<p class=""weakness-resistance-retreat-cost"">weakness: <a href=""https://pkmncards.com/weakness/psychic/"" class=""weakness""><abbr title=""Psychic"" class=""energy-symbol psychic""><span class=""vh"">[</span>P<span class=""vh"">]</span></abbr></a><span class=""modifier"">×2</span><br>resistance:<br>retreat: <a href=""https://pkmncards.com/retreat-cost/2/"" class=""retreat-cost"">2</a></p><p class=""artist-set"">Illus. <a href=""https://pkmncards.com/artist/akira-komayama/"" class=""artist"">Akira Komayama</a><br><a href=""https://pkmncards.com/set/sword-shield/"" class=""set"">Sword &amp; Shield</a> — <a href=""https://pkmncards.com/number/112/"" class=""number"">112</a>/202 — <a href=""https://pkmncards.com/rarity/common/"" class=""rarity"">Common</a></p><p class=""flavor"">It’s very curious, but its means of investigating things is to try to punch them with its tentacles. The search for food is what brings it onto land.</p>"
